embedding_dimension,theiler_entropy_median,raw_entropy_median,adjacent_fraction_median,n
2,2.0803836286646193,2.0698308315850475,0.013146613318090883,6
3,3.2119958488184124,3.204037431025291,0.01429388221841052,6
4,3.7463818308205767,3.762098935018635,0.019588218472976836,6
5,4.096745159169937,4.089526929132389,0.020165903890160184,6
6,4.361476800347427,4.366531819417331,0.02675250357653791,6
7,4.42367771953762,4.415565989086484,0.030194619347452777,6
8,4.551534511407731,4.541991849603047,0.03478385342112797,6
9,4.534248457911922,4.5199527625312275,0.04567583046964491,6
10,4.556062124998265,4.553151399003237,0.05285018619306789,6
