curve,theta0_cycles,uniform_baseline_theta0_cycles
1,0.6249563339004343,0.0
2,0.6215189373485869,0.16666666666666666
3M,0.6075674086367642,0.3333333333333333
4M,0.6328808389585425,0.5
5I,0.616084860528489,0.6666666666666666
6I,0.6175363699989256,0.8333333333333333
