a,b,mean_sync,std_sync,drive_lock,collective_drive_lock,frequency_error,sync_gain_vs_no_drive,drive_lock_gain_vs_no_drive,frequency_error_improvement_vs_no_drive
0.0,0.46870036740357024,0.6059397922495382,0.20877612113682087,0.013573387667348145,0.08229919369701319,3.981295120561181,0.0,0.0,0.0
0.0,0.5009003451366871,0.6059397922495382,0.20877612113682087,0.04493999374383857,0.14072537586463227,3.7789766935769507,0.0,0.0,0.0
0.0,0.5331003228698041,0.6059397922495382,0.20877612113682087,0.049323601167905726,0.19371797547351036,3.5766582665927196,0.0,0.0,0.0
0.0,0.5653003006029211,0.6059397922495382,0.20877612113682087,0.044788548761846875,0.222431989417594,3.3743398396084894,0.0,0.0,0.0
0.0,0.597500278336038,0.6059397922495382,0.20877612113682087,0.07036797691148532,0.20227499218131095,3.172021412624259,0.0,0.0,0.0
0.0,0.6297002560691549,0.6059397922495382,0.20877612113682087,0.07158679215435138,0.11325742116366266,2.96970298564003,0.0,0.0,0.0
0.0,0.6619002338022719,0.6059397922495382,0.20877612113682087,0.016284547017695675,0.03001873813112363,2.767384558655799,0.0,0.0,0.0
0.0,0.6941002115353889,0.6059397922495382,0.20877612113682087,0.07773514854913308,0.13867657274685394,2.565066131671569,0.0,0.0,0.0
0.0,0.7263001892685058,0.6059397922495382,0.20877612113682087,0.10050922816439083,0.13949504356905973,2.3627477046873384,0.0,0.0,0.0
0.0,0.7585001670016227,0.6059397922495382,0.20877612113682087,0.02316070982495603,0.014394051746073697,2.160429277703109,0.0,0.0,0.0
0.0,0.7907001447347397,0.6059397922495382,0.20877612113682087,0.10640157452704796,0.16128443257546693,1.9581108507188785,0.0,0.0,0.0
0.0,0.8229001224678567,0.6059397922495382,0.20877612113682087,0.16689917049891925,0.22303388830793114,1.7557924237346474,0.0,0.0,0.0
0.0,0.8551001002009736,0.6059397922495382,0.20877612113682087,0.05984994519033865,0.06393476910889631,1.553473996750418,0.0,0.0,0.0
0.0,0.8873000779340905,0.6059397922495382,0.20877612113682087,0.21344763320403662,0.2956674193877371,1.351155569766188,0.0,0.0,0.0
0.0,0.9195000556672075,0.6059397922495382,0.20877612113682087,0.5216945750633328,0.6885993948162898,1.1488371427819577,0.0,0.0,0.0
0.0,0.9517000334003245,0.6059397922495382,0.20877612113682087,0.6979061621708691,0.9052541662008962,0.9465187157977266,0.0,0.0,0.0
0.0,0.9839000111334414,0.6059397922495382,0.20877612113682087,0.6437516356060183,0.8260961241329423,0.9173541790747692,0.0,0.0,0.0
0.0,1.0160999888665585,0.6059397922495382,0.20877612113682087,0.40983957523035464,0.5027488762926647,0.98479365473618,0.0,0.0,0.0
0.0,1.0482999665996753,0.6059397922495382,0.20877612113682087,0.12918459006457217,0.12120754690121745,1.0522331303975898,0.0,0.0,0.0
0.0,1.080499944332792,0.6059397922495382,0.20877612113682087,0.10193627853356836,0.12598288995120907,1.119672606058999,0.0,0.0,0.0
0.0,1.112699922065909,0.6059397922495382,0.20877612113682087,0.1669171657742284,0.16013737589843374,1.1871120817204095,0.0,0.0,0.0
0.0,1.144899899799026,0.6059397922495382,0.20877612113682087,0.09744743632637862,0.05240150321113092,1.2545515573818196,0.0,0.0,0.0
0.0,1.177099877532143,0.6059397922495382,0.20877612113682087,0.05299898479523076,0.060159393564608685,1.32199103304323,0.0,0.0,0.0
0.0,1.20929985526526,0.6059397922495382,0.20877612113682087,0.1256291718833506,0.07599521539937047,1.3894305087046401,0.0,0.0,0.0
0.0,1.241499832998377,0.6059397922495382,0.20877612113682087,0.11271619256043022,0.024535090497728427,1.4568699843660506,0.0,0.0,0.0
0.0,1.273699810731494,0.6059397922495382,0.20877612113682087,0.050560793745762715,0.0481700836690976,1.5243094600274603,0.0,0.0,0.0
