curve,observable,ensemble_group,lag_samples,lag_coordinate,mutual_information
1,transmission_proxy,transmission_proxy_samples,18,0.07097740161004618,1.2292749529413558
1,transmission_proxy,transmission_proxy_samples,20,0.07886377956671797,1.2096386560835266
1,transmission_proxy,transmission_proxy_samples,22,0.08675015752338977,1.2483181278566757
1,transmission_proxy,transmission_proxy_samples,24,0.09463653548006157,1.220400002348918
1,transmission_proxy,transmission_proxy_samples,26,0.10252291343673336,1.2409099233841312
1,transmission_proxy,transmission_proxy_samples,28,0.11040929139340516,1.24168292594103
1,transmission_proxy,transmission_proxy_samples,30,0.11829566935007696,1.2190394726212253
1,transmission_proxy,transmission_proxy_samples,32,0.12618204730674876,1.2332391296916172
1,transmission_proxy,transmission_proxy_samples,34,0.13406842526342055,1.2150308575896105
1,transmission_proxy,transmission_proxy_samples,36,0.14195480322009235,1.2377765946154726
1,transmission_proxy,transmission_proxy_samples,38,0.14984118117676415,1.2311328413222653
1,transmission_proxy,transmission_proxy_samples,44,0.17350031504677954,1.2430362341284749
1,transmission_proxy,transmission_proxy_samples,52,0.20504582687346673,1.2141849005500913
1,transmission_proxy,transmission_proxy_samples,62,0.24447771665682572,1.2063735671218065
1,transmission_proxy,transmission_proxy_samples,70,0.2760232284835129,1.2512863969489993
1,transmission_proxy,transmission_proxy_samples,78,0.3075687403102001,1.2342733857039656
1,transmission_proxy,transmission_proxy_samples,88,0.3470006300935591,1.237348849785024
1,transmission_proxy,transmission_proxy_samples,96,0.37854614192024627,1.2162180229738628
1,transmission_proxy,transmission_proxy_samples,104,0.41009165374693346,1.2280306770109415
1,transmission_proxy,transmission_proxy_samples,112,0.44163716557362065,1.2199125588111137
1,transmission_proxy,transmission_proxy_samples,122,0.48106905535697964,1.2387711389983918
1,transmission_proxy,transmission_proxy_samples,130,0.5126145671836668,1.2100932423717894
1,transmission_proxy,transmission_proxy_samples,138,0.544160079010354,1.2101855027763828
1,transmission_proxy,transmission_proxy_samples,148,0.583591968793713,1.2136677095521162
1,transmission_proxy,transmission_proxy_samples,156,0.6151374806204002,1.193749434113312
1,transmission_proxy,transmission_proxy_samples,164,0.6466829924470874,1.2218452838367195
1,transmission_proxy,transmission_proxy_samples,174,0.6861148822304464,1.2384245267349172
1,transmission_proxy,transmission_proxy_samples,182,0.7176603940571336,1.2017828277182079
1,transmission_proxy,transmission_proxy_samples,190,0.7492059058838207,1.2011796758801596
1,transmission_proxy,transmission_proxy_samples,200,0.7886377956671797,1.2010883946502777
1,transmission_proxy,transmission_proxy_samples,208,0.8201833074938669,1.1839251738963341
1,transmission_proxy,transmission_proxy_samples,216,0.8517288193205541,1.2032616351040146
1,transmission_proxy,transmission_proxy_samples,226,0.8911607091039131,1.1862998600678325
1,transmission_proxy,transmission_proxy_samples,234,0.9227062209306003,1.1636295989979564
1,transmission_proxy,transmission_proxy_samples,242,0.9542517327572875,1.1590784155871026
1,transmission_proxy,transmission_proxy_samples,252,0.9936836225406465,1.1707976404907714
1,transmission_proxy,transmission_proxy_samples,260,1.0252291343673336,1.1715894962763205
1,transmission_proxy,transmission_proxy_samples,268,1.0567746461940208,1.1805674811352271
1,transmission_proxy,transmission_proxy_samples,276,1.088320158020708,1.1610519502290275
1,transmission_proxy,transmission_proxy_samples,286,1.127752047804067,1.1460418907217416
1,transmission_proxy,transmission_proxy_samples,294,1.1592975596307542,1.160652700165059
1,transmission_proxy,transmission_proxy_samples,302,1.1908430714574414,1.1276240001138569
1,transmission_proxy,transmission_proxy_samples,312,1.2302749612408004,1.1322492231522476
1,transmission_proxy,transmission_proxy_samples,320,1.2618204730674876,1.1379769326016453
1,transmission_proxy,transmission_proxy_samples,328,1.2933659848941748,1.127301628367611
1,transmission_proxy,transmission_proxy_samples,338,1.3327978746775337,1.1074180665074311
1,transmission_proxy,transmission_proxy_samples,346,1.364343386504221,1.1225952228019032
1,transmission_proxy,transmission_proxy_samples,354,1.3958888983309081,1.111659392658269
1,transmission_proxy,transmission_proxy_samples,364,1.435320788114267,1.0783255576930428
1,transmission_proxy,transmission_proxy_samples,372,1.4668662999409543,1.1005212632882606
1,transmission_proxy,transmission_proxy_samples,380,1.4984118117676415,1.0930190063587446
1,transmission_proxy,transmission_proxy_samples,390,1.5378437015510005,1.0811564232386361
1,transmission_proxy,transmission_proxy_samples,398,1.5693892133776877,1.0810779969967834
1,transmission_proxy,transmission_proxy_samples,406,1.6009347252043749,1.0750515358659567
1,transmission_proxy,transmission_proxy_samples,416,1.6403666149877338,1.0531497351330765
1,transmission_proxy,transmission_proxy_samples,424,1.671912126814421,1.0698072793894715
1,transmission_proxy,transmission_proxy_samples,432,1.7034576386411082,1.0288941393305655
1,transmission_proxy,transmission_proxy_samples,442,1.7428895284244672,1.054462047726863
1,transmission_proxy,transmission_proxy_samples,450,1.7744350402511544,1.029471092790648
1,transmission_proxy,transmission_proxy_samples,458,1.8059805520778416,1.0398299176909291
1,transmission_proxy,transmission_proxy_samples,466,1.8375260639045288,1.0121230247431883
1,transmission_proxy,transmission_proxy_samples,476,1.8769579536878878,1.0116998875318601
1,transmission_proxy,transmission_proxy_samples,484,1.908503465514575,0.9946294894777488
1,transmission_proxy,transmission_proxy_samples,492,1.9400489773412621,0.9877427447837634
1,transmission_proxy,transmission_proxy_samples,502,1.9794808671246211,0.999722212178467
1,transmission_proxy,transmission_proxy_samples,510,2.0110263789513083,1.0063928283906107
1,transmission_proxy,transmission_proxy_samples,518,2.0425718907779955,0.98624992635387
1,transmission_proxy,transmission_proxy_samples,528,2.0820037805613545,0.9692613730891577
1,transmission_proxy,transmission_proxy_samples,536,2.1135492923880417,0.9576911851997041
1,transmission_proxy,transmission_proxy_samples,544,2.145094804214729,0.9515447112268864
1,transmission_proxy,transmission_proxy_samples,554,2.184526693998088,0.962730068839321
1,transmission_proxy,transmission_proxy_samples,562,2.216072205824775,0.9584307964087433
1,transmission_proxy,transmission_proxy_samples,570,2.2476177176514622,0.951442224543082
1,transmission_proxy,transmission_proxy_samples,580,2.287049607434821,0.9241977127525098
1,transmission_proxy,transmission_proxy_samples,588,2.3185951192615084,0.9218307943003938
1,transmission_proxy,transmission_proxy_samples,596,2.3501406310881956,0.9294700847754651
1,transmission_proxy,transmission_proxy_samples,606,2.3895725208715546,0.9006356735743735
1,transmission_proxy,transmission_proxy_samples,614,2.4211180326982418,0.8983964583417059
1,transmission_proxy,transmission_proxy_samples,622,2.452663544524929,0.9052166567092645
