curve,observable,ensemble_group,embedding_dimension,n_points_used,steps_used,coordinate_step,threshold_trimmed,quality_status,Exp1,Exp2,LLE,sum_exponents,positive_count,KS_entropy_proxy,Kaplan_Yorke_dim,Exp3,Exp4,Exp5,Exp6,Exp7,Exp8,Exp9,Exp10
1,transmission_proxy,transmission_proxy_samples,2,3499,180,0.003943188978335899,False,valid,287.899483921413,-80.03137093838482,287.899483921413,207.86811298302814,1,287.899483921413,2.0,,,,,,,,
1,transmission_proxy,transmission_proxy_samples,3,3498,180,0.003943188978335899,False,valid,162.70183098448427,11.65778351189107,162.70183098448427,11.43903909498772,2,174.35961449637534,3.0,-162.92057540138762,,,,,,,
1,transmission_proxy,transmission_proxy_samples,4,3497,180,0.003943188978335899,False,valid,112.10759591770496,32.478008921391,112.10759591770496,-108.00498784108635,2,144.58560483909596,3.4905102635219554,-40.60401059965975,-211.98658208052257,,,,,,
1,transmission_proxy,transmission_proxy_samples,5,3496,180,0.003943188978335899,False,valid,95.39158375155114,29.29874049758893,95.39158375155114,-80.42561689241788,3,126.25191021105246,4.484462615374238,1.5615859619123842,-50.674064908772586,-156.00346219469776,,,,,
1,transmission_proxy,transmission_proxy_samples,6,3495,180,0.003943188978335899,False,valid,105.70894332746448,60.2974783204811,105.70894332746448,-70.92163303902768,3,183.00276351966846,5.584282575540282,16.996341871722883,-17.8188039657041,-65.50501425254691,-170.60057834044514,,,,
1,transmission_proxy,transmission_proxy_samples,7,3494,180,0.003943188978335899,False,valid,73.02453146910706,53.211200425182554,73.02453146910706,-132.47694766434387,3,146.02876493850655,6.183322550161028,19.793033044216937,-18.52910874645125,-19.48700639267915,-78.27506871621368,-162.21452874750636,,,
1,transmission_proxy,transmission_proxy_samples,8,3493,180,0.003943188978335899,False,valid,77.53540451495444,58.22562942222609,77.53540451495444,-109.70160846067768,4,159.6524536235175,7.227976080397651,23.116235129274035,0.7751845570629504,-16.129364433631558,-36.96579753699222,-74.1627737174066,-142.0961263961648,,
1,transmission_proxy,transmission_proxy_samples,9,3492,180,0.003943188978335899,False,valid,77.18172429494015,52.12402665069788,77.18172429494015,-141.6305161064912,4,158.17638531883915,8.160250167782237,24.71102498703279,4.159609386168316,-3.714119725877441,-14.873215009068478,-33.794619941402146,-78.76695996207445,-168.65798678690783,
1,transmission_proxy,transmission_proxy_samples,10,3491,180,0.003943188978335899,False,valid,72.13183460800495,42.251216188529085,72.13183460800495,-208.6647248995627,4,159.32109945993534,8.924733004638114,26.22216835345412,18.715880309947195,-3.2471263987093053,-8.619536515807807,-31.311568795759495,-40.261912759572425,-82.0571501281937,-202.4885297614553
2,transmission_proxy,transmission_proxy_samples,2,3499,180,0.0039471882891817245,False,valid,280.12938709497905,-64.1821289889017,280.12938709497905,215.94725810607736,1,280.12938709497905,2.0,,,,,,,,
