curve,observable,ensemble_group,individual_MI_delay_samples,individual_MI_delay_coordinate,selection_method,common_delay_coordinate,applied_delay_samples,applied_delay_coordinate,relative_feedback_rms,roughness_ratio,variance_ratio,correlation_original_controlled
rxn_11_23_5,cross_section_barn,reaction_cross_sections,10,0.40109585225010846,first local minimum,0.23500380639452523,6,0.24065751135006508,0.06076878001072643,0.9210862286626642,0.9410004231554422,0.9969129295526473
rxn_18_36_5,cross_section_barn,reaction_cross_sections,18,1.0962035930789256,global minimum in allowed range,0.23500380639452523,4,0.24360079846198346,0.057557439694130456,0.9376779241540367,0.9603103372529708,0.9979188989119767
rxn_24_50_201,cross_section_barn,reaction_cross_sections,7,0.22777489839279497,first local minimum,0.23500380639452523,7,0.22777489839279497,0.04356122786722407,0.8884240147235675,0.9328730199116652,0.9952685153016315
rxn_26_54_5,cross_section_barn,reaction_cross_sections,18,1.0962035930789256,global minimum in allowed range,0.23500380639452523,4,0.24360079846198346,0.09299288296640947,0.88093715503848,0.9081246471939791,0.9957923754435682
rxn_27_59_41,cross_section_barn,reaction_cross_sections,4,0.19904593449039965,first local minimum,0.23500380639452523,5,0.24880741811299956,0.08884235006664182,0.886639848663087,0.8723621176862232,0.9945576220975545
rxn_27_59_607,cross_section_barn,reaction_cross_sections,10,0.16328589848846775,first local minimum,0.23500380639452523,14,0.22860025788385485,0.11082052040770232,0.8710601088062597,0.8585187265589213,0.9945035961321983
rxn_27_59_627,cross_section_barn,reaction_cross_sections,7,0.1750842238469268,first local minimum,0.23500380639452523,9,0.2251082878031916,0.12002106928927875,0.8669882703171279,0.8441122967417096,0.9941772925345587
rxn_27_59_72,cross_section_barn,reaction_cross_sections,19,0.3353825947520761,first local minimum,0.23500380639452523,13,0.22947230167247312,0.10326851137328605,0.90119116285072,0.8736591947413074,0.9947863173137089
rxn_27_59_812,cross_section_barn,reaction_cross_sections,9,0.13425770359729228,first local minimum,0.23500380639452523,16,0.23868036195074183,0.13091189997714514,0.8736418576919058,0.8153246116781283,0.9938690959982226
rxn_27_59_832,cross_section_barn,reaction_cross_sections,7,0.14552118062898955,first local minimum,0.23500380639452523,11,0.22867614098841216,0.13166176201276525,0.8727899631739379,0.8062614643474767,0.9938740222791173
rxn_29_65_5,cross_section_barn,reaction_cross_sections,18,1.0962035930789256,global minimum in allowed range,0.23500380639452523,4,0.24360079846198346,0.07100193273607618,0.9091479170557544,0.9416248043531519,0.9970818616195618
