curve,observable,ensemble_group,embedding_dimension,n_points_used,steps_used,coordinate_step,threshold_trimmed,quality_status,Exp1,Exp2,LLE,sum_exponents,positive_count,KS_entropy_proxy,Kaplan_Yorke_dim,Exp3,Exp4,Exp5,Exp6,Exp7,Exp8,Exp9,Exp10
rxn_11_23_5,cross_section_barn,reaction_cross_sections,2,69,67,0.040109585225010846,False,valid,6.180108201770322,-3.4801957151394154,6.180108201770322,2.6999124866309065,1,6.180108201770322,2.0,,,,,,,,
rxn_11_23_5,cross_section_barn,reaction_cross_sections,3,68,66,0.040109585225010846,False,valid,3.952750922255609,-0.6598002065642884,3.952750922255609,-12.95920749657675,1,3.952750922255609,2.202616210886097,-16.25215821226807,,,,,,,
rxn_11_23_5,cross_section_barn,reaction_cross_sections,4,67,65,0.040109585225010846,False,valid,2.9283631747937378,-0.7047152655291034,2.9283631747937378,-23.424716159934214,1,2.9283631747937378,2.351169109070262,-6.332128458427058,-19.316235610771788,,,,,,
rxn_18_36_5,cross_section_barn,reaction_cross_sections,2,87,85,0.060900199615495865,False,valid,3.8112439998817185,-7.488098039423891,3.8112439998817185,-3.6768540395421723,1,3.8112439998817185,1.508973571101165,,,,,,,,
rxn_18_36_5,cross_section_barn,reaction_cross_sections,3,86,84,0.060900199615495865,False,valid,2.2084198354435274,-0.8714525031911547,2.2084198354435274,-7.038655221479869,1,2.2084198354435274,2.159626024653708,-8.375622553732242,,,,,,,
rxn_18_36_5,cross_section_barn,reaction_cross_sections,4,85,83,0.060900199615495865,False,valid,2.0057621685053104,0.7808671791510153,2.0057621685053104,-12.281333792383464,2,2.7866293476563255,3.023098904512469,-2.496236228162001,-12.57172691187779,,,,,,
rxn_18_36_5,cross_section_barn,reaction_cross_sections,5,84,82,0.060900199615495865,False,valid,2.9119234576180384,0.31591247019989716,2.9119234576180384,-15.801707568922765,2,3.2278359278179356,3.482158282282787,-0.808649877882392,-5.017410545104364,-13.203483073753944,,,,,
rxn_18_36_5,cross_section_barn,reaction_cross_sections,6,83,81,0.060900199615495865,False,valid,2.9482354829045003,1.4485286022630262,2.9482354829045003,-9.597537579635588,3,5.0263391692322505,4.624050195835795,0.6295750840647237,-2.394150926215624,-4.2179110920567755,-8.01181473059544,,,,
rxn_24_50_201,cross_section_barn,reaction_cross_sections,2,84,82,0.03253927119897071,False,valid,2.469342201711166,-7.7283954921839895,2.469342201711166,-5.259053290472823,1,2.469342201711166,1.31951550670617,,,,,,,,
rxn_24_50_201,cross_section_barn,reaction_cross_sections,3,83,81,0.03253927119897071,False,valid,1.9901125033944602,-6.159324419831243,1.9901125033944602,-42.95817985486315,1,1.9901125033944602,1.323105647266533,-38.78896793842636,,,,,,,
rxn_24_50_201,cross_section_barn,reaction_cross_sections,4,82,80,0.03253927119897071,False,valid,0.2585127127062362,-8.231791457328695,0.2585127127062362,-46.91461235825517,1,0.2585127127062362,1.031404186323993,-12.53303823958732,-26.408295374045395,,,,,,
